id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
uk-course,Великобритания: национальный курс,Определить стратегию государства на 2026 год.,70,uk,3,1,uk-industry,uk-army,uk-diplomacy,uk-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
uk-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,uk,1,2,uk-resources,,,,,,,,,,uk-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
uk-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,uk,1,3,uk-doctrine,,,,,,,,,,uk-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
uk-army,Реформа армии,Обновить структуру войск и резервы.,70,uk,3,2,uk-bases,,,,,,,,,,uk-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
uk-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,uk,3,3,uk-doctrine,,,,,,,,,,uk-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
uk-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,uk,5,2,uk-trade,,,,,,,,,,uk-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
uk-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,uk,5,3,uk-doctrine,,,,,,,,,,uk-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
uk-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,uk,7,2,uk-reactors,,,,,,,,,,uk-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
uk-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,uk,7,3,uk-warheads,,,,,,,,,,uk-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
uk-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,uk,7,4,uk-grand-design,,,,,,,,,,uk-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
uk-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,uk,4,5,uk-grand-design,,,,,,,,,,uk-resources,uk-bases,uk-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
uk-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,uk,4,6,,,,,,,,,,,uk-doctrine,uk-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
