id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
il-course,Израиль: национальный курс,Определить стратегию государства на 2026 год.,70,il,3,1,il-industry,il-army,il-diplomacy,il-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
il-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,il,1,2,il-resources,,,,,,,,,,il-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
il-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,il,1,3,il-doctrine,,,,,,,,,,il-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
il-army,Реформа армии,Обновить структуру войск и резервы.,70,il,3,2,il-bases,,,,,,,,,,il-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
il-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,il,3,3,il-doctrine,,,,,,,,,,il-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
il-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,il,5,2,il-trade,,,,,,,,,,il-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
il-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,il,5,3,il-doctrine,,,,,,,,,,il-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
il-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,il,7,2,il-reactors,,,,,,,,,,il-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
il-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,il,7,3,il-warheads,,,,,,,,,,il-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
il-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,il,7,4,il-grand-design,,,,,,,,,,il-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
il-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,il,4,5,il-grand-design,,,,,,,,,,il-resources,il-bases,il-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
il-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,il,4,6,,,,,,,,,,,il-doctrine,il-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
