id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
in-course,Индия: национальный курс,Определить стратегию государства на 2026 год.,70,in,3,1,in-industry,in-army,in-diplomacy,in-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
in-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,in,1,2,in-resources,,,,,,,,,,in-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
in-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,in,1,3,in-doctrine,,,,,,,,,,in-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
in-army,Реформа армии,Обновить структуру войск и резервы.,70,in,3,2,in-bases,,,,,,,,,,in-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
in-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,in,3,3,in-doctrine,,,,,,,,,,in-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
in-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,in,5,2,in-trade,,,,,,,,,,in-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
in-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,in,5,3,in-doctrine,,,,,,,,,,in-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
in-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,in,7,2,in-reactors,,,,,,,,,,in-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
in-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,in,7,3,in-warheads,,,,,,,,,,in-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
in-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,in,7,4,in-grand-design,,,,,,,,,,in-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
in-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,in,4,5,in-grand-design,,,,,,,,,,in-resources,in-bases,in-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
in-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,in,4,6,,,,,,,,,,,in-doctrine,in-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
