id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
ir-course,Иран: национальный курс,Определить стратегию государства на 2026 год.,70,ir,3,1,ir-industry,ir-army,ir-diplomacy,ir-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
ir-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,ir,1,2,ir-resources,,,,,,,,,,ir-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
ir-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,ir,1,3,ir-doctrine,,,,,,,,,,ir-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
ir-army,Реформа армии,Обновить структуру войск и резервы.,70,ir,3,2,ir-bases,,,,,,,,,,ir-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
ir-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,ir,3,3,ir-doctrine,,,,,,,,,,ir-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
ir-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,ir,5,2,ir-trade,,,,,,,,,,ir-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
ir-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,ir,5,3,ir-doctrine,,,,,,,,,,ir-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
ir-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,ir,7,2,ir-reactors,,,,,,,,,,ir-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
ir-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,ir,7,3,ir-warheads,,,,,,,,,,ir-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
ir-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,ir,7,4,ir-grand-design,,,,,,,,,,ir-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
ir-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,ir,4,5,ir-grand-design,,,,,,,,,,ir-resources,ir-bases,ir-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
ir-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,ir,4,6,,,,,,,,,,,ir-doctrine,ir-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
