id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
es-course,Испания: национальный курс,Определить стратегию государства на 2026 год.,70,es,3,1,es-industry,es-army,es-diplomacy,es-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
es-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,es,1,2,es-resources,,,,,,,,,,es-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
es-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,es,1,3,es-doctrine,,,,,,,,,,es-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
es-army,Реформа армии,Обновить структуру войск и резервы.,70,es,3,2,es-bases,,,,,,,,,,es-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
es-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,es,3,3,es-doctrine,,,,,,,,,,es-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
es-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,es,5,2,es-trade,,,,,,,,,,es-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
es-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,es,5,3,es-doctrine,,,,,,,,,,es-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
es-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,es,7,2,es-reactors,,,,,,,,,,es-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
es-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,es,7,3,es-warheads,,,,,,,,,,es-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
es-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,es,7,4,es-grand-design,,,,,,,,,,es-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
es-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,es,4,5,es-grand-design,,,,,,,,,,es-resources,es-bases,es-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
es-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,es,4,6,,,,,,,,,,,es-doctrine,es-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
