id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
it-course,Италия: национальный курс,Определить стратегию государства на 2026 год.,70,it,3,1,it-industry,it-army,it-diplomacy,it-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
it-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,it,1,2,it-resources,,,,,,,,,,it-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
it-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,it,1,3,it-doctrine,,,,,,,,,,it-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
it-army,Реформа армии,Обновить структуру войск и резервы.,70,it,3,2,it-bases,,,,,,,,,,it-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
it-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,it,3,3,it-doctrine,,,,,,,,,,it-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
it-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,it,5,2,it-trade,,,,,,,,,,it-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
it-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,it,5,3,it-doctrine,,,,,,,,,,it-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
it-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,it,7,2,it-reactors,,,,,,,,,,it-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
it-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,it,7,3,it-warheads,,,,,,,,,,it-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
it-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,it,7,4,it-grand-design,,,,,,,,,,it-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
it-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,it,4,5,it-grand-design,,,,,,,,,,it-resources,it-bases,it-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
it-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,it,4,6,,,,,,,,,,,it-doctrine,it-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
