id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
kp-course,КНДР: национальный курс,Определить стратегию государства на 2026 год.,70,kp,3,1,kp-industry,kp-army,kp-diplomacy,kp-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
kp-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,kp,1,2,kp-resources,,,,,,,,,,kp-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
kp-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,kp,1,3,kp-doctrine,,,,,,,,,,kp-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
kp-army,Реформа армии,Обновить структуру войск и резервы.,70,kp,3,2,kp-bases,,,,,,,,,,kp-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
kp-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,kp,3,3,kp-doctrine,,,,,,,,,,kp-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
kp-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,kp,5,2,kp-trade,,,,,,,,,,kp-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
kp-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,kp,5,3,kp-doctrine,,,,,,,,,,kp-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
kp-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,kp,7,2,kp-reactors,,,,,,,,,,kp-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
kp-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,kp,7,3,kp-warheads,,,,,,,,,,kp-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
kp-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,kp,7,4,kp-grand-design,,,,,,,,,,kp-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
kp-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,kp,4,5,kp-grand-design,,,,,,,,,,kp-resources,kp-bases,kp-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
kp-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,kp,4,6,,,,,,,,,,,kp-doctrine,kp-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
