id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
kz-course,Казахстан: национальный курс,Определить стратегию государства на 2026 год.,70,kz,3,1,kz-industry,kz-army,kz-diplomacy,kz-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
kz-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,kz,1,2,kz-resources,,,,,,,,,,kz-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
kz-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,kz,1,3,kz-doctrine,,,,,,,,,,kz-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
kz-army,Реформа армии,Обновить структуру войск и резервы.,70,kz,3,2,kz-bases,,,,,,,,,,kz-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
kz-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,kz,3,3,kz-doctrine,,,,,,,,,,kz-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
kz-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,kz,5,2,kz-trade,,,,,,,,,,kz-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
kz-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,kz,5,3,kz-doctrine,,,,,,,,,,kz-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
kz-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,kz,7,2,kz-reactors,,,,,,,,,,kz-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
kz-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,kz,7,3,kz-warheads,,,,,,,,,,kz-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
kz-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,kz,7,4,kz-grand-design,,,,,,,,,,kz-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
kz-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,kz,4,5,kz-grand-design,,,,,,,,,,kz-resources,kz-bases,kz-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
kz-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,kz,4,6,,,,,,,,,,,kz-doctrine,kz-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
