id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
ca-course,Канада: национальный курс,Определить стратегию государства на 2026 год.,70,ca,3,1,ca-industry,ca-army,ca-diplomacy,ca-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
ca-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,ca,1,2,ca-resources,,,,,,,,,,ca-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
ca-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,ca,1,3,ca-doctrine,,,,,,,,,,ca-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
ca-army,Реформа армии,Обновить структуру войск и резервы.,70,ca,3,2,ca-bases,,,,,,,,,,ca-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
ca-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,ca,3,3,ca-doctrine,,,,,,,,,,ca-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
ca-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,ca,5,2,ca-trade,,,,,,,,,,ca-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
ca-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,ca,5,3,ca-doctrine,,,,,,,,,,ca-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
ca-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,ca,7,2,ca-reactors,,,,,,,,,,ca-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
ca-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,ca,7,3,ca-warheads,,,,,,,,,,ca-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
ca-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,ca,7,4,ca-grand-design,,,,,,,,,,ca-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
ca-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,ca,4,5,ca-grand-design,,,,,,,,,,ca-resources,ca-bases,ca-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
ca-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,ca,4,6,,,,,,,,,,,ca-doctrine,ca-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
