id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
national-rejuvenation,Национальное возрождение,"Собрать ресурсы партии, экономики и армии вокруг долгого курса.",70,national,3,1,made-in-china,belt-and-road,civil-military-fusion,internal-harmony,,,,,,,,,,,,,,,,,politicalPower=45,stability=4,,,,,,,,,,,
made-in-china,Сделано в Китае,Укрепить промышленность и экспортные цепочки.,70,made,1,2,automation-drive,,,,,,,,,,national-rejuvenation,,,,,,,,,,factories=7,steel=30,,,,,,,,,,,
automation-drive,Автоматизация заводов,Повысить выпуск и технологичность производства.,70,automation,1,3,shared-future,,,,,,,,,,made-in-china,,,,,,,,,,factories=5,rare=20,,,,,,,,,,,
belt-and-road,Пояс и путь,"Развить торговые маршруты, кредиты и инфраструктурные связи.",70,belt,2,2,resource-security,yuan-clearing,,,,,,,,,national-rejuvenation,,,,,,,,,,politicalPower=35,food=35,,,,,,,,,,,
resource-security,Безопасность ресурсов,"Диверсифицировать поставки нефти, стали и редких ресурсов.",70,resource,2,3,shared-future,,,,,,,,,,belt-and-road,,,,,,,,,,oil=30,steel=20,rare=25,,,,,,,,,,
civil-military-fusion,Военно-гражданский сплав,Связать промышленность и оборонные программы.,70,civil,4,2,modern-theater-command,,,,,,,,,,national-rejuvenation,,,,,,,,,,commandPower=30,manpower=120,,,,,,,,,,,
modern-theater-command,Новые округа,Улучшить управление армиями и готовность войск.,70,modern,4,3,asian-commonwealth,shared-future,,,,,,,,,civil-military-fusion,,,,,,,,,,commandPower=35,warSupport=7,,,,,,,,,,,
internal-harmony,Внутренняя гармония,Стабилизировать общество и региональное развитие.,70,internal,5,2,digital-yuan,,,,,,,,,,national-rejuvenation,,,,,,,,,,stability=10,gdp=25,,,,,,,,,,,
digital-yuan,Цифровой юань,Усилить финансовую самостоятельность и торговую сеть.,70,digital,5,3,yuan-clearing,shared-future,,,,,,,,,internal-harmony,,,,,,,,,,politicalPower=45,gdp=35,,,,,,,,,,,
yuan-clearing,Клиринг в юанях,Расширить расчеты в национальной валюте.,70,yuan,6,3,regional-development-bank,,,,,,,,,,digital-yuan,belt-and-road,,,,,,,,,budget=55,politicalPower=35,,,,,,,,,,,
regional-development-bank,Банк развития региона,Сконцентрировать инвестиции в инфраструктуру партнеров.,70,regional,6,4,asian-commonwealth,,,,,,,,,,yuan-clearing,,,,,,,,,,gdp=50,factories=3,,,,,,,,,,,
asian-commonwealth,Азиатское содружество,Открывает формирование Паназиатского союза.,70,asian,5,5,,,,,,,,,,,regional-development-bank,modern-theater-command,,,,,,,,,politicalPower=80,stability=4,,,,,,,,,,,
shared-future,Сообщество единой судьбы,"Объединить промышленный, военный и дипломатический вектор.",70,shared,3,5,,,,,,,,,,,automation-drive,resource-security,modern-theater-command,digital-yuan,,,,,,,politicalPower=75,factories=4,stability=5,,,,,,,,,,
