id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
pk-course,Пакистан: национальный курс,Определить стратегию государства на 2026 год.,70,pk,3,1,pk-industry,pk-army,pk-diplomacy,pk-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
pk-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,pk,1,2,pk-resources,,,,,,,,,,pk-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
pk-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,pk,1,3,pk-doctrine,,,,,,,,,,pk-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
pk-army,Реформа армии,Обновить структуру войск и резервы.,70,pk,3,2,pk-bases,,,,,,,,,,pk-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
pk-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,pk,3,3,pk-doctrine,,,,,,,,,,pk-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
pk-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,pk,5,2,pk-trade,,,,,,,,,,pk-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
pk-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,pk,5,3,pk-doctrine,,,,,,,,,,pk-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
pk-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,pk,7,2,pk-reactors,,,,,,,,,,pk-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
pk-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,pk,7,3,pk-warheads,,,,,,,,,,pk-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
pk-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,pk,7,4,pk-grand-design,,,,,,,,,,pk-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
pk-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,pk,4,5,pk-grand-design,,,,,,,,,,pk-resources,pk-bases,pk-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
pk-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,pk,4,6,,,,,,,,,,,pk-doctrine,pk-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
