id,название,описание,дни,ответвление,x,y,требование1,требование2,награда1,награда2,награда3,блокировать1,блокировать2
pl-course,Польша 2026: выбор стратегии,Определить долгий курс Республики Польша.,35,Курс,6,1,,,politicalPower=45,stability=4,,,
pl-west,Атлантическая Польша,Выбрать западную безопасность и лидерство Центральной Европы.,56,Запад,2,2,pl-course,,politicalPower=35,stability=6,commandPower=15,Восток,Баланс
pl-east,Восточноевропейский курс,Построить федеративный проект вокруг польско-литовского наследия.,56,Восток,6,2,pl-course,,politicalPower=40,stability=3,commandPower=10,Запад,Баланс
pl-balance,Суверенный баланс,Создать самостоятельную балтийскую коалицию вне великих блоков.,56,Баланс,10,2,pl-course,,politicalPower=30,stability=8,budget=20,Запад,Восток
pl-defense,Территориальная оборона,Развернуть резервы и региональные штабы.,49,Оборона,1,4,pl-course,,manpower=180,commandPower=25,warSupport=5,,
pl-logistics,Вислинский логистический пояс,Расширить склады мосты и железнодорожные узлы.,56,Оборона,1,5,pl-defense,,steel=30,factories=2,commandPower=18,,
pl-air-defense,ПВО крупных городов,Защитить инфраструктуру и гражданское население.,49,Оборона,1,6,pl-logistics,,commandPower=30,stability=5,warSupport=5,,
pl-long-army,Армия долгой кампании,Свести резерв снабжение ПВО и связь в единую систему.,70,Оборона,1,7,pl-air-defense,,manpower=240,commandPower=45,stability=8,,
pl-investment,Польский инвестиционный план,Запустить промышленную модернизацию воеводств.,49,Экономика,4,4,pl-course,,factories=3,gdp=30,budget=25,,
pl-north-south,Коридор Север–Юг,Связать Балтику с Карпатами современной логистикой.,56,Экономика,4,5,pl-investment,,factories=2,steel=25,gdp=25,,
pl-energy,Энергетическая диверсификация,Защитить энергетику от внешнего давления.,56,Экономика,4,6,pl-north-south,,oil=35,stability=8,budget=20,,
pl-tech,Технологические воеводства,Инвестировать в электронику и точное машиностроение.,70,Экономика,4,7,pl-energy,,factories=4,gdp=50,rare=25,,
pl-civil,Гражданская устойчивость,Развить убежища медицину и кризисную связь.,49,Общество,8,4,pl-course,,stability=10,manpower=80,food=20,,
pl-law,Правовое государство,Укрепить предсказуемость институтов и управление.,56,Общество,8,5,pl-civil,,stability=12,politicalPower=30,,,
pl-west-council,Совет Междуморья,Создать дипломатический формат Балтика–Карпаты–Чёрное море.,56,Запад,2,4,pl-west,,politicalPower=45,budget=25,stability=4,,
pl-west-market,Единый оборонный рынок,Синхронизировать закупки и производство с партнёрами.,56,Запад,2,5,pl-west-council,,factories=3,steel=30,commandPower=20,,
pl-intermarium-diplomacy,Конфедеративный договор Междуморья,Добиваться добровольного союза центральноевропейских государств.,70,Запад,2,6,pl-west-market,,organizationJoin=intermarium,stability=8,politicalPower=55,,
pl-intermarium-force,Готовность к принудительной унии,Открыть военные требования к отказавшимся странам региона.,70,Запад,1,6,pl-west-market,,warSupport=12,commandPower=35,manpower=150,,
pl-form-intermarium,Провозгласить Междуморье,Требуются Литва Латвия Эстония Чехия Словакия Венгрия Румыния Болгария и Украина; РФ не входит в требования.,70,Запад,2,8,pl-intermarium-force,,formedNation=intermarium,politicalPower=100,stability=10,,
pl-vilnius,Диалог с Вильнюсом,Подготовить добровольную польско-литовскую унию.,56,Восток,6,4,pl-east,,politicalPower=35,stability=5,,,
pl-union,Виленская хартия,Оформить права земель и общие институты будущего союза.,56,Восток,6,5,pl-vilnius,,organizationJoin=pl-lt-union,stability=10,politicalPower=40,,
pl-duchy,Великое княжество Литовское,Требуются Литва Белоруссия Украина и Словакия; РФ исключена.,70,Восток,6,7,pl-union,,formedNation=polish_grand_duchy,politicalPower=90,stability=7,,
pl-sejm,Федеральный сейм,Подготовить администрацию большой федерации.,56,Восток,6,8,pl-duchy,,stability=10,politicalPower=40,,
pl-commonwealth,Провозгласить новую Речь Посполитую,Требуются Литва Белоруссия Украина Латвия и Словакия; РФ не входит в требования.,70,Восток,6,10,pl-sejm,,formedNation=new_commonwealth,politicalPower=120,stability=12,,
pl-ports,Договор свободных портов,Создать торговый формат балтийских государств.,56,Баланс,10,4,pl-balance,,budget=35,gdp=22,stability=5,,
pl-baltic-energy,Балтийская энергетическая сеть,Связать энергетику и порты партнёров.,56,Баланс,10,5,pl-ports,,oil=25,gdp=25,stability=5,,
pl-baltic-diplomacy,Лига свободных государств,Добиваться добровольного союза Польши и стран Балтики.,70,Баланс,10,6,pl-baltic-energy,,organizationJoin=baltic-league,politicalPower=50,stability=8,,
pl-baltic-force,Балтийская кампания,Подготовить силовой вариант единой лиги.,70,Баланс,11,6,pl-baltic-energy,,commandPower=35,warSupport=10,manpower=100,,
pl-form-baltic,Единая Балтийская лига,Требуются Литва Латвия Эстония и Финляндия; РФ не входит в требования.,70,Баланс,10,8,pl-baltic-force,,formedNation=baltic_league_poland,politicalPower=90,stability=8,,
