id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
global-leadership,Глобальное лидерство,Собрать политический капитал для внешнеполитического курса.,70,global,3,1,nato-readiness,arsenal-contracts,pacific-pivot,energy-independence,dollar-network,,,,,,,,,,,,,,,,politicalPower=45,stability=2,,,,,,,,,,,
nato-readiness,Готовность НАТО,Усилить союзную координацию и военное планирование.,70,nato,1,2,atlantic-bases,,,,,,,,,,global-leadership,,,,,,,,,,commandPower=25,warSupport=5,,,,,,,,,,,
atlantic-bases,Атлантические базы,Расширить сеть баз и логистику союзников.,70,atlantic,1,3,rules-based-order,,,,,,,,,,nato-readiness,,,,,,,,,,commandPower=25,oil=15,,,,,,,,,,,
arsenal-contracts,Арсенал контрактов,Увеличить оборонное производство и складские запасы.,70,arsenal,2,2,shipyards-and-air,,,,,,,,,,global-leadership,,,,,,,,,,factories=6,steel=35,,,,,,,,,,,
shipyards-and-air,Верфи и авиация,"Сделать ставку на флот, авиацию и высокоточное производство.",70,shipyards,2,3,rules-based-order,,,,,,,,,,arsenal-contracts,,,,,,,,,,factories=4,rare=25,commandPower=15,,,,,,,,,,
pacific-pivot,Тихоокеанский разворот,Сместить внимание к Индо-Тихоокеанскому региону.,70,pacific,4,2,semiconductor-act,,,,,,,,,,global-leadership,,,,,,,,,,politicalPower=30,oil=25,,,,,,,,,,,
semiconductor-act,Полупроводниковый акт,Нарастить критические технологии и редкие ресурсы.,70,semiconductor,4,3,rules-based-order,,,,,,,,,,pacific-pivot,,,,,,,,,,rare=45,factories=3,,,,,,,,,,,
energy-independence,Энергетическая независимость,"Укрепить добычу, переработку и стратегические резервы.",70,energy,5,2,domestic-resilience,,,,,,,,,,global-leadership,,,,,,,,,,oil=50,stability=2,,,,,,,,,,,
domestic-resilience,Внутренняя устойчивость,Снизить политические риски и социальное напряжение.,70,domestic,5,3,continental-investment,rules-based-order,,,,,,,,,energy-independence,,,,,,,,,,stability=10,food=25,,,,,,,,,,,
dollar-network,Долларовая сеть,Усилить влияние валюты и иностранных активов.,70,dollar,6,2,asset-screening,,,,,,,,,,global-leadership,,,,,,,,,,politicalPower=40,budget=60,gdp=25,,,,,,,,,,
asset-screening,Контроль активов,Расширить возможности давления через иностранные активы.,70,asset,6,3,continental-investment,,,,,,,,,,dollar-network,,,,,,,,,,intel=25,politicalPower=25,,,,,,,,,,,
continental-investment,Континентальные инвестиции,Разогнать внутренний спрос и строительство.,70,continental,5,4,global-interoperability,,,,,,,,,,domestic-resilience,asset-screening,,,,,,,,,factories=4,gdp=45,stability=3,,,,,,,,,,
rules-based-order,Порядок союзов,"Свести военные, технологические и дипломатические направления.",70,rules,3,5,global-interoperability,,,,,,,,,,atlantic-bases,shipyards-and-air,semiconductor-act,domestic-resilience,,,,,,,politicalPower=80,warSupport=8,factories=3,,,,,,,,,,
global-interoperability,Глобальная совместимость,Сделать союзные армии и базы единой системой.,70,global,2,5,,,,,,,,,,,rules-based-order,continental-investment,,,,,,,,,commandPower=45,warSupport=5,oil=20,,,,,,,,,,
