id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
sa-course,Саудовская Аравия: национальный курс,Определить стратегию государства на 2026 год.,70,sa,3,1,sa-industry,sa-army,sa-diplomacy,sa-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
sa-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,sa,1,2,sa-resources,,,,,,,,,,sa-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
sa-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,sa,1,3,sa-doctrine,,,,,,,,,,sa-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
sa-army,Реформа армии,Обновить структуру войск и резервы.,70,sa,3,2,sa-bases,,,,,,,,,,sa-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
sa-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,sa,3,3,sa-doctrine,,,,,,,,,,sa-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
sa-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,sa,5,2,sa-trade,,,,,,,,,,sa-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
sa-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,sa,5,3,sa-doctrine,,,,,,,,,,sa-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
sa-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,sa,7,2,sa-reactors,,,,,,,,,,sa-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
sa-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,sa,7,3,sa-warheads,,,,,,,,,,sa-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
sa-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,sa,7,4,sa-grand-design,,,,,,,,,,sa-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
sa-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,sa,4,5,sa-grand-design,,,,,,,,,,sa-resources,sa-bases,sa-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
sa-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,sa,4,6,,,,,,,,,,,sa-doctrine,sa-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
