id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
wartime-cabinet,Военный кабинет,Сконцентрировать управление и ресурсы вокруг обороны.,70,wartime,3,1,territorial-defense,partner-aid,drone-industry,grain-corridors,,,,,,,,,,,,,,,,,politicalPower=35,warSupport=8,,,,,,,,,,,
territorial-defense,Территориальная оборона,Укрепить местные резервы и готовность регионов.,70,territorial,1,2,fortified-lines,,,,,,,,,,wartime-cabinet,,,,,,,,,,manpower=130,stability=3,,,,,,,,,,,
fortified-lines,Укрепленные линии,Построить оборонные позиции и склады снабжения.,70,fortified,1,3,european-integration,,,,,,,,,,territorial-defense,,,,,,,,,,commandPower=25,steel=25,,,,,,,,,,,
partner-aid,Помощь партнеров,"Получить вооружение, ресурсы и политическую поддержку.",70,partner,2,2,security-guarantees,,,,,,,,,,wartime-cabinet,,,,,,,,,,politicalPower=35,steel=30,rare=20,,,,,,,,,,
security-guarantees,Гарантии безопасности,Сформировать сеть обязательств и военной помощи.,70,security,2,3,defense-industrial-compact,european-integration,,,,,,,,,partner-aid,,,,,,,,,,politicalPower=45,commandPower=20,,,,,,,,,,,
drone-industry,Индустрия БПЛА,Развернуть массовое производство дронов и электроники.,70,drone,4,2,distributed-production,,,,,,,,,,wartime-cabinet,,,,,,,,,,factories=4,rare=25,commandPower=15,,,,,,,,,,
distributed-production,Распределенное производство,Сделать промышленность устойчивой к ударам и кризисам.,70,distributed,4,3,defense-industrial-compact,european-integration,,,,,,,,,drone-industry,,,,,,,,,,factories=4,stability=5,,,,,,,,,,,
grain-corridors,Зерновые коридоры,Сохранить экспорт продовольствия и доходы бюджета.,70,grain,5,2,civil-resilience,black-sea-security,,,,,,,,,wartime-cabinet,,,,,,,,,,food=55,gdp=20,,,,,,,,,,,
civil-resilience,Гражданская устойчивость,"Укрепить энергетику, города и социальную поддержку.",70,civil,5,3,regional-reconstruction,european-integration,,,,,,,,,grain-corridors,,,,,,,,,,stability=10,politicalPower=20,,,,,,,,,,,
regional-reconstruction,Восстановление регионов,Направить бюджет и министров на экономический рост областей.,70,regional,6,3,euro-atlantic-lock,,,,,,,,,,civil-resilience,,,,,,,,,,gdp=30,factories=2,stability=4,,,,,,,,,,
defense-industrial-compact,Оборонный индустриальный пакт,Связать партнерскую помощь с собственным производством.,70,defense,4,4,black-sea-security,,,,,,,,,,security-guarantees,distributed-production,,,,,,,,,factories=5,steel=30,commandPower=20,,,,,,,,,,
black-sea-security,Черноморская безопасность,Сформировать долговременный контур баз и торговли.,70,black,5,4,euro-atlantic-lock,,,,,,,,,,grain-corridors,defense-industrial-compact,,,,,,,,,commandPower=30,food=30,politicalPower=25,,,,,,,,,,
european-integration,Европейская интеграция,"Свести оборону, экономику и дипломатию в долгосрочный курс.",70,european,3,5,euro-atlantic-lock,,,,,,,,,,fortified-lines,security-guarantees,distributed-production,civil-resilience,,,,,,,politicalPower=70,factories=3,stability=6,,,,,,,,,,
euro-atlantic-lock,Евроатлантическая фиксация,Закрепить долгосрочные гарантии безопасности и экономики.,70,euro,4,6,,,,,,,,,,,european-integration,black-sea-security,regional-reconstruction,,,,,,,,politicalPower=90,stability=5,rare=25,,,,,,,,,,
