id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
fr-course,Франция: национальный курс,Определить стратегию государства на 2026 год.,70,fr,3,1,fr-industry,fr-army,fr-diplomacy,fr-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
fr-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,fr,1,2,fr-resources,,,,,,,,,,fr-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
fr-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,fr,1,3,fr-doctrine,,,,,,,,,,fr-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
fr-army,Реформа армии,Обновить структуру войск и резервы.,70,fr,3,2,fr-bases,,,,,,,,,,fr-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
fr-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,fr,3,3,fr-doctrine,,,,,,,,,,fr-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
fr-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,fr,5,2,fr-trade,,,,,,,,,,fr-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
fr-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,fr,5,3,fr-doctrine,,,,,,,,,,fr-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
fr-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,fr,7,2,fr-reactors,,,,,,,,,,fr-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
fr-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,fr,7,3,fr-warheads,,,,,,,,,,fr-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
fr-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,fr,7,4,fr-grand-design,,,,,,,,,,fr-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
fr-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,fr,4,5,fr-grand-design,,,,,,,,,,fr-resources,fr-bases,fr-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
fr-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,fr,4,6,,,,,,,,,,,fr-doctrine,fr-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
