id,название,описание,дни,ответвление,x,y,после1,после2,после3,после4,после5,после6,после7,после8,после9,после10,требование1,требование2,требование3,требование4,требование5,требование6,требование7,требование8,требование9,требование10,награда1,награда2,награда3,награда4,награда5,награда6,награда7,награда8,награда9,награда10,блокировать1,блокировать2,блокировать3
za-course,ЮАР: национальный курс,Определить стратегию государства на 2026 год.,70,za,3,1,za-industry,za-army,za-diplomacy,za-nuclear-program,,,,,,,,,,,,,,,,,politicalPower=40,stability=3,,,,,,,,,,,
za-industry,Промышленная программа,Расширить заводы и региональные производственные цепочки.,70,za,1,2,za-resources,,,,,,,,,,za-course,,,,,,,,,,factories=4,steel=20,,,,,,,,,,,
za-resources,Ресурсная безопасность,"Закрепить снабжение сырьем, энергией и продовольствием.",70,za,1,3,za-doctrine,,,,,,,,,,za-industry,,,,,,,,,,oil=20,food=25,rare=10,,,,,,,,,,
za-army,Реформа армии,Обновить структуру войск и резервы.,70,za,3,2,za-bases,,,,,,,,,,za-course,,,,,,,,,,commandPower=30,manpower=100,warSupport=5,,,,,,,,,,
za-bases,Сеть баз,"Развернуть логистику, штабы и военную инфраструктуру.",70,za,3,3,za-doctrine,,,,,,,,,,za-army,,,,,,,,,,commandPower=25,steel=15,,,,,,,,,,,
za-diplomacy,Внешний контур,"Усилить союзы, торговые договоры и право прохода.",70,za,5,2,za-trade,,,,,,,,,,za-course,,,,,,,,,,politicalPower=35,stability=2,,,,,,,,,,,
za-trade,Торговые коридоры,Сделать торговлю категориями устойчивее и прибыльнее.,70,za,5,3,za-doctrine,,,,,,,,,,za-diplomacy,,,,,,,,,,budget=45,gdp=25,food=15,,,,,,,,,,
za-nuclear-program,Национальная ядерная программа,Открыть путь к реакторам и собственному ядерному арсеналу.,70,za,7,2,za-reactors,,,,,,,,,,za-course,,,,,,,,,,politicalPower=35,rare=25,nuclearProgram=1,,,,,,,,,,
za-reactors,Реакторные мощности,Подготовить промышленную базу для производства боеголовок.,70,za,7,3,za-warheads,,,,,,,,,,za-nuclear-program,,,,,,,,,,nuclearReactors=1,rare=15,gdp=15,,,,,,,,,,
za-warheads,Первые боеголовки,Сформировать ограниченный арсенал сдерживания.,70,za,7,4,za-grand-design,,,,,,,,,,za-reactors,,,,,,,,,,nuclearWarheads=2,commandPower=20,warSupport=4,,,,,,,,,,
za-doctrine,Доктрина безопасности,"Связать оборону, экономику и дипломатические гарантии.",70,za,4,5,za-grand-design,,,,,,,,,,za-resources,za-bases,za-trade,,,,,,,,politicalPower=60,stability=5,commandPower=30,,,,,,,,,,
za-grand-design,Большая стратегия,Финальный курс страны на долгую кампанию.,70,za,4,6,,,,,,,,,,,za-doctrine,za-warheads,,,,,,,,,politicalPower=80,factories=3,gdp=35,stability=4,,,,,,,,,
